Date,Open,High,Low,Close,Adj Close,Volume
2023-02-03,359.079987,379.429993,359.000000,365.899994,365.899994,9402000
2023-02-06,363.640015,368.450012,360.679993,361.480011,361.480011,4994900
2023-02-07,358.510010,364.179993,354.179993,362.950012,362.950012,6289400
2023-02-08,360.019989,368.190002,358.309998,366.829987,366.829987,6253200
2023-02-09,372.410004,373.829987,361.739990,362.500000,362.500000,6901100
2023-02-10,359.160004,362.140015,347.140015,347.359985,347.359985,7291100
2023-02-13,349.500000,359.700012,344.250000,358.570007,358.570007,7134400
2023-02-14,357.549988,363.750000,353.399994,359.959991,359.959991,4624800
2023-02-15,356.630005,362.880005,354.239990,361.420013,361.420013,3966000
2023-02-16,355.000000,361.500000,350.309998,350.709991,350.709991,5215700
2023-02-17,347.910004,349.000000,342.440002,347.959991,347.959991,5294700
2023-02-21,342.850006,344.130005,336.420013,337.500000,337.500000,5710300
2023-02-22,337.500000,341.910004,332.820007,334.880005,334.880005,4546200
2023-02-23,331.230011,331.279999,314.299988,323.649994,323.649994,13238700
2023-02-24,319.299988,321.500000,314.519989,317.149994,317.149994,6830700
2023-02-27,323.869995,330.000000,322.119995,323.029999,323.029999,6142600
2023-02-28,323.700012,327.619995,321.170013,322.130005,322.130005,3676100
2023-03-01,321.549988,326.600006,312.359985,313.480011,313.480011,4911300
2023-03-02,310.959991,315.570007,310.380005,311.880005,311.880005,4911000
2023-03-03,315.450012,317.489990,310.820007,315.179993,315.179993,5953300
2023-03-06,317.000000,323.299988,311.839996,312.029999,312.029999,5660700
2023-03-07,312.679993,314.299988,306.619995,308.470001,308.470001,4553100
2023-03-08,309.290009,311.829987,305.750000,311.790009,311.790009,3479500
2023-03-09,312.079987,312.510010,294.880005,297.779999,297.779999,7443400
2023-03-10,297.899994,298.790009,289.000000,292.760010,292.760010,5759300
2023-03-13,287.339996,299.239990,285.329987,293.510010,293.510010,6292400
2023-03-14,295.970001,297.450012,290.309998,294.940002,294.940002,5956700
2023-03-15,292.510010,306.309998,292.279999,303.790009,303.790009,9215300
2023-03-16,304.750000,316.600006,301.709991,310.059998,310.059998,7903700
2023-03-17,310.059998,310.760010,300.000000,303.500000,303.500000,6918800
2023-03-20,299.790009,307.500000,296.000000,305.130005,305.130005,5113400
2023-03-21,306.320007,307.920013,300.429993,305.790009,305.790009,4886300
2023-03-22,306.309998,306.450012,293.540009,293.899994,293.899994,5808000
2023-03-23,304.679993,322.779999,304.140015,320.369995,320.369995,15653300
2023-03-24,320.630005,331.829987,320.630005,328.390015,328.390015,12991700
2023-03-27,327.549988,336.440002,324.410004,327.660004,327.660004,8625800
2023-03-28,326.059998,333.320007,321.279999,323.519989,323.519989,6489400
2023-03-29,326.290009,332.850006,325.730011,332.029999,332.029999,6287300
2023-03-30,340.269989,343.290009,335.299988,338.429993,338.429993,7131500
2023-03-31,340.049988,345.839996,337.200012,345.480011,345.480011,5610200
2023-04-03,341.829987,348.579987,340.399994,348.279999,348.279999,4413700
2023-04-04,348.489990,349.799988,343.950012,346.750000,346.750000,3298100
2023-04-05,345.299988,345.429993,336.250000,342.350006,342.350006,4205500
2023-04-06,339.339996,340.480011,332.630005,339.329987,339.329987,4660500
2023-04-10,335.269989,339.880005,333.359985,338.989990,338.989990,2657900
2023-04-11,343.450012,347.140015,337.640015,338.209991,338.209991,4044800
2023-04-12,340.809998,342.799988,330.040009,331.029999,331.029999,3965400
2023-04-13,339.989990,346.429993,338.750000,346.190002,346.190002,7406400
2023-04-14,342.940002,344.850006,336.410004,338.630005,338.630005,5350500
2023-04-17,338.000000,338.390015,327.500000,332.720001,332.720001,6136000
2023-04-18,335.000000,337.190002,330.500000,333.700012,333.700012,17944500
2023-04-19,324.209991,325.750000,316.100006,323.119995,323.119995,22128300
2023-04-20,320.390015,331.429993,318.329987,325.350006,325.350006,9947800
2023-04-21,323.000000,328.290009,319.500000,327.980011,327.980011,6348000
2023-04-24,330.200012,334.660004,326.750000,329.019989,329.019989,5586600
2023-04-25,328.500000,328.660004,321.100006,322.549988,322.549988,5426600
2023-04-26,321.359985,325.899994,320.470001,321.149994,321.149994,4623200
2023-04-27,324.299988,327.450012,317.440002,325.850006,325.850006,5618800
2023-04-28,325.239990,330.809998,324.000000,329.929993,329.929993,4221900
2023-05-01,329.440002,331.230011,318.089996,324.119995,324.119995,5341500
2023-05-02,325.000000,326.070007,315.619995,317.549988,317.549988,4318600
